timestamp,temperature,pressure,vibration,rpm,voltage,oil_pressure,failure,degradation_level
2026-03-15 09:43:02,59.32,98.39,0.298,3016.0,220.14,53.84,0,0.0
2026-03-15 10:43:02,55.86,100.5,0.451,2937.0,225.56,52.04,0,0.0
2026-03-15 11:43:02,59.89,103.35,0.578,2991.0,224.23,51.42,0,0.0
2026-03-15 12:43:02,57.59,99.35,0.437,3031.0,223.3,50.31,0,0.0
2026-03-15 13:43:02,59.06,103.67,0.576,2992.0,208.4,53.13,0,0.0
2026-03-15 14:43:02,58.86,103.47,0.443,2951.0,215.08,50.62,0,0.0
2026-03-15 15:43:02,57.93,97.11,0.49,3023.0,216.4,51.56,0,0.0
2026-03-15 16:43:02,61.42,103.55,0.481,3093.0,223.29,50.66,0,0.0
2026-03-15 17:43:02,59.9,100.24,0.55,3026.0,217.15,49.75,0,0.0
2026-03-15 18:43:02,58.48,95.01,0.473,2915.0,214.21,49.22,0,0.0
2026-03-15 19:43:02,59.33,97.48,0.365,3138.0,220.47,54.42,0,0.0
2026-03-15 20:43:02,58.74,102.66,0.467,3013.0,219.64,48.43,0,0.0
2026-03-15 21:43:02,58.17,95.11,0.37,3011.0,228.41,48.65,0,0.0
2026-03-15 22:43:02,57.93,102.99,0.632,2980.0,223.59,49.46,0,0.0
2026-03-15 23:43:02,60.15,102.03,0.467,3100.0,222.48,49.53,0,0.0
2026-03-16 00:43:02,60.79,100.53,0.583,3059.0,221.65,44.85,0,0.0
2026-03-16 01:43:02,59.54,103.35,0.435,3043.0,218.79,49.54,0,0.0
2026-03-16 02:43:02,60.92,102.26,0.466,3021.0,219.98,52.14,0,0.0
2026-03-16 03:43:02,59.12,102.12,0.572,3032.0,220.09,48.81,0,0.0
2026-03-16 04:43:02,62.52,98.97,0.674,3069.0,218.95,51.58,0,0.0
2026-03-16 05:43:02,59.65,98.72,0.553,3080.0,217.28,53.17,0,0.0
2026-03-16 06:43:02,62.44,104.61,0.642,3090.0,215.95,55.03,0,0.0
2026-03-16 07:43:02,58.21,97.95,0.587,3005.0,227.28,54.57,0,0.0
2026-03-16 08:43:02,59.64,100.88,0.63,3062.0,220.81,52.14,0,0.0
2026-03-16 09:43:02,63.77,99.89,0.73,3032.0,216.42,51.15,0,0.0
2026-03-16 10:43:02,60.53,96.03,0.401,2980.0,219.51,51.24,0,0.0
2026-03-16 11:43:02,58.17,100.62,0.48,3000.0,226.31,49.25,0,0.0
2026-03-16 12:43:02,61.6,98.17,0.442,2937.0,221.0,52.25,0,0.0
2026-03-16 13:43:02,60.37,102.93,0.354,2965.0,221.8,47.3,0,0.0
2026-03-16 14:43:02,60.59,99.32,0.586,2954.0,215.26,47.47,0,0.0
2026-03-16 15:43:02,56.82,100.42,0.421,2950.0,223.95,48.39,0,0.0
2026-03-16 16:43:02,61.03,97.09,0.453,2966.0,225.12,48.53,0,0.0
2026-03-16 17:43:02,58.04,105.44,0.453,3001.0,228.12,48.47,0,0.0
2026-03-16 18:43:02,59.78,100.37,0.445,3003.0,224.01,44.28,0,0.0
2026-03-16 19:43:02,59.16,100.74,0.498,3018.0,225.37,54.12,0,0.0
2026-03-16 20:43:02,58.41,102.71,0.613,3052.0,229.8,48.5,0,0.0
2026-03-16 21:43:02,59.09,101.56,0.465,2988.0,222.4,51.0,0,0.0
2026-03-16 22:43:02,62.71,102.59,0.304,2968.0,212.69,52.97,0,0.0
2026-03-16 23:43:02,59.61,96.16,0.496,2953.0,225.89,49.52,0,0.0
2026-03-17 00:43:02,60.0,99.31,0.428,3057.0,220.95,48.58,0,0.0
2026-03-17 01:43:02,58.96,93.48,0.469,2967.0,225.18,50.96,0,0.0
2026-03-17 02:43:02,60.87,97.95,0.426,3034.0,212.99,47.12,0,0.0
2026-03-17 03:43:02,60.92,103.64,0.337,3057.0,221.51,48.06,0,0.0
2026-03-17 04:43:02,58.85,95.0,0.417,3051.0,220.74,52.42,0,0.0
2026-03-17 05:43:02,59.18,96.12,0.52,2998.0,224.62,49.87,0,0.0
2026-03-17 06:43:02,60.54,98.64,0.469,3039.0,220.01,52.83,0,0.0
2026-03-17 07:43:02,59.43,105.59,0.653,2999.0,218.25,52.51,0,0.0
2026-03-17 08:43:02,59.65,102.08,0.497,3014.0,223.58,47.37,0,0.0
2026-03-17 09:43:02,59.97,101.29,0.427,2906.0,219.89,48.89,0,0.0
2026-03-17 10:43:02,58.79,98.62,0.593,2987.0,225.58,52.57,0,0.0
2026-03-17 11:43:02,58.04,102.59,0.256,2957.0,221.97,54.96,0,0.0
2026-03-17 12:43:02,60.68,101.33,0.4,2938.0,215.5,52.73,0,0.0
2026-03-17 13:43:02,61.76,101.79,0.379,3015.0,206.75,50.94,0,0.0
2026-03-17 14:43:02,62.27,101.45,0.622,2995.0,209.9,50.56,0,0.0
2026-03-17 15:43:02,60.5,96.45,0.538,3080.0,220.21,52.14,0,0.0
2026-03-17 16:43:02,59.69,97.39,0.702,3103.0,224.68,46.4,0,0.0
2026-03-17 17:43:02,61.27,98.1,0.512,3025.0,212.48,51.91,0,0.0
2026-03-17 18:43:02,59.83,100.21,0.544,2980.0,220.56,48.36,0,0.0
2026-03-17 19:43:02,58.08,101.31,0.533,3002.0,216.28,53.1,0,0.0
2026-03-17 20:43:02,59.28,96.64,0.558,2933.0,217.21,52.12,0,0.0
2026-03-17 21:43:02,61.67,100.27,0.6,2922.0,220.15,51.07,0,0.0
2026-03-17 22:43:02,55.02,103.45,0.65,2907.0,216.29,51.58,0,0.0
2026-03-17 23:43:02,61.09,99.42,0.501,3068.0,222.16,49.4,0,0.0
2026-03-18 00:43:02,57.92,102.61,0.371,2969.0,223.79,50.35,0,0.0
2026-03-18 01:43:02,59.26,98.04,0.552,3028.0,221.05,49.38,0,0.0
2026-03-18 02:43:02,58.72,99.59,0.556,3068.0,220.59,47.18,0,0.0
2026-03-18 03:43:02,60.24,100.23,0.456,3015.0,214.57,49.61,0,0.0
2026-03-18 04:43:02,59.87,102.21,0.575,3017.0,223.03,46.15,0,0.0
2026-03-18 05:43:02,60.45,98.65,0.634,2965.0,218.75,46.7,0,0.0
2026-03-18 06:43:02,61.55,102.54,0.477,3005.0,215.97,46.76,0,0.0
2026-03-18 07:43:02,62.49,104.68,0.666,3001.0,223.88,46.49,0,0.0
2026-03-18 08:43:02,61.69,103.52,0.475,3056.0,220.13,52.14,0,0.0
2026-03-18 09:43:02,57.62,92.08,0.39,3089.0,224.4,46.88,0,0.0
2026-03-18 10:43:02,55.0,101.61,0.438,2953.0,220.36,51.41,0,0.0
2026-03-18 11:43:02,58.37,97.62,0.372,2932.0,222.63,50.91,0,0.0
2026-03-18 12:43:02,59.94,95.05,0.38,3023.0,210.18,49.48,0,0.0
2026-03-18 13:43:02,60.18,103.44,0.49,3037.0,225.54,52.8,0,0.0
2026-03-18 14:43:02,59.69,95.3,0.534,3051.0,214.87,49.68,0,0.0
2026-03-18 15:43:02,59.8,100.36,0.585,3046.0,222.78,53.88,0,0.0
2026-03-18 16:43:02,60.5,95.68,0.409,2984.0,217.51,48.36,0,0.0
2026-03-18 17:43:02,63.08,103.54,0.511,3033.0,227.52,48.15,0,0.0
2026-03-18 18:43:02,59.86,101.59,0.575,3072.0,224.3,47.76,0,0.0
2026-03-18 19:43:02,58.04,98.65,0.537,2968.0,225.98,50.58,0,0.0
2026-03-18 20:43:02,57.28,96.44,0.664,3083.0,215.63,50.19,0,0.0
2026-03-18 21:43:02,60.46,99.85,0.484,3044.0,216.15,50.99,0,0.0
2026-03-18 22:43:02,54.95,101.63,0.449,3037.0,215.72,48.39,0,0.0
2026-03-18 23:43:02,61.4,98.27,0.356,2937.0,225.62,48.67,0,0.0
2026-03-19 00:43:02,59.36,97.83,0.441,2975.0,216.63,49.23,0,0.0
2026-03-19 01:43:02,59.4,97.21,0.657,2956.0,219.79,51.58,0,0.0
2026-03-19 02:43:02,60.51,96.12,0.551,3002.0,217.74,50.68,0,0.0
2026-03-19 03:43:02,59.15,102.68,0.402,3001.0,227.17,50.09,0,0.0
2026-03-19 04:43:02,60.07,95.98,0.596,2994.0,214.01,51.71,0,0.0
2026-03-19 05:43:02,63.27,96.73,0.478,2964.0,223.55,54.03,0,0.0
2026-03-19 06:43:02,60.45,100.53,0.456,2966.0,217.53,50.67,0,0.0
2026-03-19 07:43:02,60.13,100.25,0.248,2967.0,213.34,48.89,0,0.0
2026-03-19 08:43:02,59.46,98.96,0.449,3040.0,213.64,50.79,0,0.0
2026-03-19 09:43:02,61.48,97.83,0.398,3008.0,220.34,49.66,0,0.0
2026-03-19 10:43:02,62.59,105.91,0.45,2958.0,222.38,50.06,0,0.0
2026-03-19 11:43:02,57.84,98.49,0.659,2923.0,217.37,48.62,0,0.0
2026-03-19 12:43:02,62.64,101.98,0.473,3102.0,209.81,50.59,0,0.0
2026-03-19 13:43:02,60.83,100.54,0.387,3057.0,216.38,45.53,0,0.0
2026-03-19 14:43:02,60.58,104.8,0.617,2992.0,224.83,50.89,0,0.01
2026-03-19 15:43:02,60.5,93.23,0.489,3002.0,223.79,51.21,0,0.03
2026-03-19 16:43:02,61.85,99.33,0.694,3027.0,227.3,51.13,0,0.04
2026-03-19 17:43:02,58.69,100.48,0.628,2953.0,219.27,50.2,0,0.06
2026-03-19 18:43:02,61.11,99.57,0.765,3009.0,214.42,45.86,0,0.07
2026-03-19 19:43:02,60.95,98.16,0.869,3044.0,214.34,48.66,0,0.09
2026-03-19 20:43:02,60.78,95.95,0.838,3025.0,218.26,52.58,0,0.1
2026-03-19 21:43:02,61.19,99.21,0.777,3001.0,227.44,46.59,0,0.12
2026-03-19 22:43:02,61.43,99.16,0.909,3101.0,221.58,48.76,0,0.13
2026-03-19 23:43:02,61.78,96.97,0.757,3004.0,217.71,46.14,0,0.15
2026-03-20 00:43:02,60.39,97.35,0.916,2970.0,215.16,48.41,0,0.16
2026-03-20 01:43:02,56.97,100.69,0.895,3009.0,225.49,48.31,0,0.18
2026-03-20 02:43:02,60.52,94.72,1.081,2970.0,229.04,52.0,0,0.19
2026-03-20 03:43:02,60.15,98.04,1.145,2961.0,223.97,46.99,0,0.21
2026-03-20 04:43:02,62.03,93.38,1.121,3117.0,219.04,45.85,0,0.22
2026-03-20 05:43:02,58.89,96.63,1.186,3000.0,218.88,48.34,0,0.24
2026-03-20 06:43:02,62.89,99.52,1.206,2938.0,221.53,47.61,0,0.25
2026-03-20 07:43:02,59.29,89.6,1.117,2997.0,221.11,47.32,0,0.26
2026-03-20 08:43:02,61.51,97.86,1.264,2986.0,219.63,50.66,0,0.28
2026-03-20 09:43:02,59.65,97.5,1.384,3037.0,229.34,48.86,0,0.29
2026-03-20 10:43:02,59.28,95.81,1.335,2929.0,218.77,51.99,0,0.31
2026-03-20 11:43:02,61.65,95.6,1.282,2981.0,213.45,43.97,0,0.32
2026-03-20 12:43:02,64.25,97.74,1.355,3076.0,219.41,44.65,0,0.34
2026-03-20 13:43:02,63.4,91.94,1.407,3035.0,228.84,49.15,0,0.35
2026-03-20 14:43:02,59.79,94.17,1.275,2984.0,220.82,49.99,0,0.37
2026-03-20 15:43:02,64.58,97.54,1.283,3055.0,216.6,45.79,0,0.38
2026-03-20 16:43:02,60.85,97.4,1.573,3071.0,210.68,46.21,0,0.4
2026-03-20 17:43:02,60.16,91.73,1.535,2976.0,223.83,39.93,0,0.41
2026-03-20 18:43:02,61.01,95.72,1.615,3090.0,224.1,46.27,0,0.43
2026-03-20 19:43:02,63.38,94.46,1.325,2981.0,220.72,46.27,0,0.44
2026-03-20 20:43:02,63.38,88.29,1.662,2873.0,225.63,44.81,0,0.46
2026-03-20 21:43:02,61.09,93.65,1.639,2998.0,218.08,44.59,0,0.47
2026-03-20 22:43:02,66.39,94.43,1.562,3027.0,217.07,42.22,0,0.49
2026-03-20 23:43:02,63.87,86.83,1.901,2984.0,222.2,44.56,0,0.5
2026-03-21 00:43:02,61.95,93.56,1.882,3099.0,215.39,44.24,0,0.51
2026-03-21 01:43:02,60.69,95.23,2.049,3075.0,216.68,41.78,0,0.53
2026-03-21 02:43:02,64.62,89.32,1.733,2992.0,222.06,44.24,0,0.54
2026-03-21 03:43:02,65.4,87.29,1.842,3036.0,227.88,42.29,0,0.56
2026-03-21 04:43:02,59.79,96.04,1.847,2991.0,226.01,45.02,0,0.57
2026-03-21 05:43:02,62.36,86.88,2.139,2980.0,210.46,46.55,0,0.59
2026-03-21 06:43:02,65.64,91.02,1.939,3023.0,213.21,46.29,0,0.6
2026-03-21 07:43:02,63.59,91.39,2.058,3058.0,224.46,44.11,0,0.62
2026-03-21 08:43:02,63.26,94.09,2.223,2997.0,222.05,46.1,0,0.63
2026-03-21 09:43:02,59.71,86.08,2.065,3090.0,220.35,44.83,0,0.65
2026-03-21 10:43:02,61.27,88.62,2.032,3000.0,211.96,45.93,0,0.66
2026-03-21 11:43:02,63.43,89.99,2.267,2940.0,224.0,45.04,0,0.68
2026-03-21 12:43:02,61.73,89.68,1.99,2963.0,218.13,46.91,0,0.69
